0: Hips.position
1: Hips.quaternion
2: RightUpLeg.quaternion
3: RightLeg.quaternion
4: RightFoot.quaternion
5: LeftUpLeg.quaternion
6: LeftLeg.quaternion
7: LeftFoot.quaternion
8: Spine.quaternion
9: Spine1.quaternion
10: Spine2.quaternion
11: Neck.quaternion
12: Neck1.quaternion
13: Head.quaternion
14: RightShoulder.quaternion
15: RightArm.quaternion
16: RightForeArm.quaternion
17: RightHand.quaternion
18: RightHandThumb1.quaternion
19: RightHandThumb2.quaternion
20: RightHandThumb3.quaternion
21: RightHandIndex1.quaternion
22: RightHandIndex2.quaternion
23: RightHandIndex3.quaternion
24: RightHandMiddle1.quaternion
25: RightHandMiddle2.quaternion
26: RightHandMiddle3.quaternion
27: RightHandRing1.quaternion
28: RightHandRing2.quaternion
29: RightHandRing3.quaternion
30: RightHandPinky1.quaternion
31: RightHandPinky2.quaternion
32: RightHandPinky3.quaternion
33: LeftShoulder.quaternion
34: LeftArm.quaternion
35: LeftForeArm.quaternion
36: LeftHand.quaternion
37: LeftHandThumb1.quaternion
38: LeftHandThumb2.quaternion
39: LeftHandThumb3.quaternion
40: LeftHandIndex1.quaternion
41: LeftHandIndex2.quaternion
42: LeftHandIndex3.quaternion
43: LeftHandMiddle1.quaternion
44: LeftHandMiddle2.quaternion
45: LeftHandMiddle3.quaternion
46: LeftHandRing1.quaternion
47: LeftHandRing2.quaternion
48: LeftHandRing3.quaternion
49: LeftHandPinky1.quaternion
50: LeftHandPinky2.quaternion
51: LeftHandPinky3.quaternion
